IDLink;Title;Source;Topic;PublishDate;SentimentTitle;SentimentHeadline;Facebook;GooglePlus;LinkedIn
13424;World Economy will have weak growth for a few years;Next Big Future;economy;01.01.2016 0:00;-0.378155703528469;0.179888104425046;4;2;7
13246;Israeli Economy Grew 2.3% in 2015, Its Slowest Pace Since 2009;Haaretz;economy;01.01.2016 0:00;0;0;5;43;1
13154;The annoying, essential economy of software updates;Marketplace.org;economy;01.01.2016 0:20;-0.0708683386892301;-0.152777777777778;3;1;2
13146;Impact of Potential Lawsuits on the On-Demand Economy;Bloomberg;economy;01.01.2016 0:24;-0.0104166666666667;0.115986142819248;1;1;1
13244;India fastest growing economy despite four droughts: CEA Arvind Subramanian;The Economic Times;economy;01.01.2016 7:35;-0.0889390591922357;-0.169257923296859;40;4;8
13287;Asia's New Year Economic Resolutions;The Diplomat;economy;01.01.2016 11:20;-0.0652186493437437;0.0302083333333334;70;1;7
13213;New Brunswick faces improving economic outlook in 2016;CBC.ca;economy;01.01.2016 12:06;0.228353535776408;-0.168162065025488;19;1;3
13217;Who Gets Excluded From the Modern Economy?;The Atlantic;economy;01.01.2016 12:31;0;-0.0266500895444513;136;4;24
13218;India crowned world's fastest growing aviation market in 2015 as ...;Telegraph.co.uk;economy;01.01.2016 12:48;-0.0416666666666667;-0.0809224676291804;40;9;42
13223;How Is the Economy Doing? Politics May Decide Your Answer;New York Times;economy;01.01.2016 13:01;0.0779589284277622;0.0213692464539678;1063;21;91
13225;Coal mining town on its knees as China economy shifts;Sydney Morning Herald;economy;01.01.2016 13:17;0.158113883008419;-0.115928254187871;52;6;22
13241;Europe in 2016: Terror fears, migration, politics. But economy may ...;CNNMoney;economy;01.01.2016 14:40;-0.21875;-0.123262427059781;114;24;24
13238;Biggest threats to the on-demand economy in 2016;The Hill;economy;01.01.2016 15:03;0;0.0385721726118714;19;1;6
13245;Prospects and Challenges for the US Economy in 2016;Forbes;economy;01.01.2016 15:39;0;0.0863500663768765;15;2;24
13254;Opinion is divided on state of Chinese economy, but not on its ...;The Guardian;economy;01.01.2016 16:26;-0.252590742770461;-0.0390481854102253;20;1;12
13323;Oceans and Climate: Towards a Blue Economy;CounterPunch;economy;01.01.2016 17:00;-0.330718913883074;-0.100925774234146;5;2;1
13260;Justin Trudeau can't afford to ignore Canada's economic challenges;The Globe and Mail;economy;01.01.2016 17:01;-0.0520833333333333;-0.0932753134055796;23;2;1
13271;Finally, people are feeling better about the economy for 2016;Quartz;economy;01.01.2016 17:53;0.268634259259259;0.265661417623863;22;14;15
13307;Burundi's neglected economy;Global Risk Insights;economy;01.01.2016 18:20;-0.144337567297406;-0.102062072615966;5;1;12
13275;Slowdown in Chinese manufacturing deepens fears for economy;The Guardian;economy;01.01.2016 18:42;0;0.0545544725589981;224;25;131
13334;Kingdom in ambitious drive to boost economic efficiency;Arab News;economy;01.01.2016 22:20;0.211149941604316;0.027277236279499;8;2;79
13530;Modi govt has got Indian economy stuck in a rut: Chidambaram;Hindustan Times;economy;02.01.2016 0:00;-0.113066754216661;0.0861817866328045;66;11;2
13542;China's Crash Course: How a Turbulent Year Derailed Reform;Wall Street Journal;economy;02.01.2016 0:00;-0.145138888888889;-0.0191366386154936;96;6;55
13340;Russia bans imports of farm produce, raw foods from Ukraine;TASS;economy;02.01.2016 5:40;-0.0790569415042095;-0.0266500895444513;15;1;1
13339;Experts: Austin's economy won't falter in 2016;MyStatesman.com;economy;02.01.2016 6:01;0.255155181539914;0.14884052256495;21;1;19
13368;Beg, borrow, steal: A few ways Modi could revive India's stagnant ...;Scroll.in;economy;02.01.2016 10:07;-0.197657437000978;-0.0990691395622105;24;2;1
13381;How compromises, mistakes made in the Mandela era hobbled SA's ...;Mail & Guardian Online;economy;02.01.2016 11:56;-0.118585412256314;-0.136215591985646;117;3;54
13388;What to Expect for the Chinese Economy in 2016;The Diplomat;economy;02.01.2016 13:08;0.0248592227760896;-0.354280026524071;102;2;14
13421;Why Isn't Cheap Gas Helping To Boost The U.S. Economy?;Green Car Reports;economy;02.01.2016 13:40;0;0.277014040882685;28;21;12
13399;What does 2016 hold for the global economy?;Aljazeera.com;economy;02.01.2016 13:58;0;0.123805433346388;40;14;3
13405;The $200 Uber Ride And The Realtime Data-Driven Sharing Economy;Forbes;economy;02.01.2016 14:28;-0.0592927061281571;-0.1;77;4;122
13408;Mapped: how a demographic time bomb will transform the global ...;Telegraph.co.uk;economy;02.01.2016 15:02;-0.0197642353760524;0.00425258635899857;183;4;187
13414;Install fraud is threatening the app economy;VentureBeat;economy;02.01.2016 17:01;-0.330718913883074;-0.0866127910194667;40;13;427
13416;4 ways the on-demand economy will evolve in 2016;VentureBeat;economy;02.01.2016 19:40;0.0883883476483184;0.13652384725936;73;21;575
13417;5 trends to watch in state economy;Detroit Free Press;economy;02.01.2016 19:45;0.127577590769957;-0.0388822390359109;74;1;35
13440;Economic loss: A trillion dollars lost due to lack of water reservoirs;The Express Tribune;economy;02.01.2016 22:00;0.0180421959121758;0.0297681045129899;96;1;9
13752;Why The Great Malaise Of The World Economy Continues In 2016;Social Europe;economy;03.01.2016 0:00;-0.426907484122731;0.220071725836799;162;3;42
13463;Tom Still: Computer sciences at UW-Madison expanding reach into ...;Madison.com;economy;03.01.2016 2:08;-0.0150584650484208;0.160408482769171;10;1;1
13470;Doing the maths: how real is Ireland's economic growth?;Irish Independent;economy;03.01.2016 3:20;0;-0.25625;28;2;1
13520;Economic outlook for 2016;In-Cyprus (press release) (subscription) (blog);economy;03.01.2016 6:00;0;-0.0760637972414547;7;1;4
13479;$2 gasoline fails to jump-start economy;Tulsa World;economy;03.01.2016 6:06;0;-0.00122474487139158;5;1;3
13553;Travel trends for 2016;Fox News;economy;03.01.2016 6:50;0;0.193419538280034;36;1;14
13636;UAE witnesses 10 years of rapid and sustainable economic growth;Emirates 24|7;economy;03.01.2016 9:40;-0.166666666666667;-0.0372677996249963;4;1;26
13515;Even in expensive cities, the sharing economy may just have its limits;The Guardian (blog);economy;03.01.2016 12:01;-0.152456555457886;-0.335416666666667;99;20;61
13518;Wharton India Economic Forum to focus on startup economy this year;Daily News & Analysis;economy;03.01.2016 12:15;0.0659556066263858;0.0521286035142687;4;2;5
13601;Berlin Develops as Business Hub;The Wall Street Journal;economy;03.01.2016 12:58;-0.0559016994374947;-0.161374306091976;115;11;56
13528;As Belarus economy falters, Lukashenko looks West;Al Jazeera America;economy;03.01.2016 13:20;-0.0472455591261534;-0.167268396787277;108;1;29
13540;House of cards: Property glut could spell doom for Chinese economy;South China Morning Post (subscription);economy;03.01.2016 15:23;-0.226133508433323;-0.102062072615966;17;6;42
13563;Economic outlook: China's slowing growth likely to set the tone;Financial Times;economy;03.01.2016 16:00;-0.167600715988924;0.0794961203592598;8;5;27
13621;Singapore’s Economy Expands More Than Estimated on Services;Bloomberg;economy;03.01.2016 16:03;0.075;-0.231503239718152;86;4;44
13547;China's Two-Speed Economy Stays Intact as Factories Slump ...;Bloomberg;economy;03.01.2016 16:16;-0.125;-0.0309870557207112;32;16;61
13557;World economy of so-so growth;Financial Times;economy;03.01.2016 17:33;-0.204124145231932;-0.0629513888888889;8;16;2
13637;CBI: UK businesses finished 2015 with strong growth;ITV.com;economy;03.01.2016 17:40;-0.0826797284707684;-0.312090304725704;2;3;3
13567;Membership of reformed EU seen as vital to economic security;Financial Times;economy;03.01.2016 17:56;0.0518811178621375;-0.0716221156507129;123;5;64
13603;As Africa's sharing economy grows, Airbnb takes tourists in new ...;Christian Science Monitor;economy;03.01.2016 18:40;-0.125173490714998;-0.102062072615966;6;9;7
13595;Uber and the growing sharing economy;NewsOK.com;economy;03.01.2016 19:00;-0.0510310363079829;-0.224716404845836;4;1;6
13590;Japan central bank turns activist investor to revive economy;Reuters;economy;03.01.2016 21:06;0.157407407407407;-0.0510310363079829;36;6;21
13660;These 10 Numbers Will Tell Canada's Economic Story in 2016;Bloomberg;economy;03.01.2016 21:17;-0.209922325664756;-0.265886192899511;49;8;96
13596;Japan central bank turns activist investor to revive economy;Business Insider;economy;03.01.2016 21:26;0.157407407407407;-0.21260501606769;16;3;20
13605;Odey flags up threat of UK house bubble in fears for global economy;Telegraph.co.uk;economy;03.01.2016 22:00;-0.0491140798741087;-0.0765465544619743;14;1;41
13597;Could the Economy Tank in 2016?;Politico;economy;03.01.2016 22:05;0;0.0195482263178508;210;10;34
13602;Alberta's economy in 2016 is a gambler's dream;The Globe and Mail;economy;03.01.2016 22:38;-0.0354341693446151;0.10966028004085;2;1;9
13613;Protected areas burden on economy, Victoria County officials say;TheChronicleHerald.ca;economy;03.01.2016 22:53;0.0833333333333333;-0.122534722222222;35;4;3
14101;Oman sets plan to halve oil's role in economy;ArabianBusiness.com;economy;04.01.2016 0:00;0;-0.206538193969498;3;1;4
13618;China's Two-Speed Economy Remains Intact;Bloomberg;economy;04.01.2016 0:05;0;0.018877146760653;2;1;37
13625;UK economy finished 2015 strongly, says CBI;Reuters UK;economy;04.01.2016 0:13;0.0382732772309872;-0.15625;4;1;9
13656;Singapore economy grows 2.1% for full-year 2015 and 2% in Q4 ...;The Straits Times;economy;04.01.2016 1:00;0;-0.47671727020308;44;1;5
13638;Singapore economy grew 2.1% in 2015, beating expectations;Channel News Asia;economy;04.01.2016 1:00;-0.0510310363079829;-0.372800567539663;2;1;5
13648;The US Military: An Alternative to the Brutalities of the Modern ...;Defense One;economy;04.01.2016 2:00;0;0.0614565319313234;43;4;28
13686;Economists Take Aim at Wealth Inequality;New York Times;economy;04.01.2016 2:20;0.00340206908719872;0.0310726707376362;790;17;932
13663;Stronger long-term economic growth key to Canadians prosperity ...;Toronto Star;economy;04.01.2016 2:40;-0.03125;0.0069104528333729;27;4;4
13644;Asian markets slide on fears of stalling Chinese economy;MarketWatch;economy;04.01.2016 3:33;0;-0.097182731255793;159;5;26
13892;ECONOMIC YEAR AHEAD: Rates and tax increases loom while ...;BDlive;economy;04.01.2016 4:40;0;-0.18125;15;3;10
13669;NM dairy production could affect economy;KOB.com;economy;04.01.2016 5:29;-0.07938161203464;-0.414302276501815;53;4;1
13680;Berlin's sharing economy: a glimpse of the future?;Irish Times;economy;04.01.2016 6:40;0;-0.0358067771427681;71;7;14
13677;Could the American economy tank in 2016?;Politico;economy;04.01.2016 7:14;0;0.0195482263178508;10;1;4
13690;How To Save The World Economy?;Social Europe;economy;04.01.2016 8:39;0;0.279591671864865;83;5;27
